"","Av.zone","Num.datasets","Bid.ratio","mean_total_cost","mean_instance_cost","mean_storage_cost","mean_xfer_cost","mean_total_time","mean_run_time","mean_wait_time","mean_upl_time","mean_dl_time","mean_interrupts","Region"
"73","ap-northeast-1c",100,4.5,49.6512876712329,16.022,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"74","ap-northeast-1c",100,5,49.6512876712329,16.022,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"75","ap-northeast-1c",200,1,93.9334794520548,24.585,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"76","ap-northeast-1c",200,1.5,94.2270136986301,24.894,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"77","ap-northeast-1c",200,2,94.4732602739726,25.123,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"78","ap-northeast-1c",200,2.5,94.4762794520548,25.156,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"79","ap-northeast-1c",200,3,94.1214794520548,24.673,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"80","ap-northeast-1c",200,3.5,93.9284794520548,24.514,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"81","ap-northeast-1c",200,4,93.9314794520548,24.519,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"82","ap-northeast-1c",200,4.5,93.9314794520548,24.519,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"83","ap-northeast-1c",200,5,93.9314794520548,24.519,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"84","ap-northeast-1c",500,1,231.907726027397,42.798,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"85","ap-northeast-1c",500,1.5,232.276726027397,43.7961,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"86","ap-northeast-1c",500,2,232.604726027397,44.054,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"87","ap-northeast-1c",500,2.5,232.592726027397,44.066,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"88","ap-northeast-1c",500,3,232.637726027397,44.084,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"89","ap-northeast-1c",500,3.5,232.636726027397,44.0854,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"90","ap-northeast-1c",500,4,232.634326027397,44.084,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"91","ap-northeast-1c",500,4.5,232.634326027397,44.084,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"92","ap-northeast-1c",500,5,232.634326027397,44.084,27.2897260273973,161,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"93","ap-northeast-1c",1000,1,515.393534246575,84.886,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"94","ap-northeast-1c",1000,1.5,516.057095890411,86.394,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"95","ap-northeast-1c",1000,2,516.669495890411,87.28,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"96","ap-northeast-1c",1000,2.5,516.709095890411,87.318,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"97","ap-northeast-1c",1000,3,517.145095890411,87.0024,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"98","ap-northeast-1c",1000,3.5,517.165095890411,87.056,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"99","ap-northeast-1c",1000,4,517.221895890411,87.1396,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"100","ap-northeast-1c",1000,4.5,517.221895890411,87.1396,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"101","ap-northeast-1c",1000,5,517.221895890411,87.1396,106.841095890411,322,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"102","ap-northeast-1c",2000,1,1232.40536986301,163.996,421.071780821918,644,32273.5203703704,1124.75,3.48333333333333,834.37037037037,31402.6666666667,1,"Asia Pacific"
"103","ap-northeast-1c",2000,1.5,1232.67978082192,165.222,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"104","ap-northeast-1c",2000,2,1233.71778082192,166.832,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"105","ap-northeast-1c",2000,2.5,1233.72778082192,166.548,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"106","ap-northeast-1c",2000,3,1234.19778082192,167.68,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"107","ap-northeast-1c",2000,3.5,1234.27578082192,168.226,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"108","ap-northeast-1c",2000,4,1234.27578082192,168.226,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"109","ap-northeast-1c",2000,4.5,1234.27578082192,168.226,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"110","ap-northeast-1c",2000,5,1234.27578082192,168.226,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"111","ap-northeast-1c",5000,1,4638.13385479452,401.772,2618.55369863014,1610,80809.8092592592,2817.68333333333,184.216666666667,2085.92592592593,78506.6666666667,3,"Asia Pacific"
"112","ap-southeast-1a",50,1,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"113","ap-southeast-1a",50,1.5,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"114","ap-southeast-1a",50,2,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"115","ap-southeast-1a",50,2.5,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"116","ap-southeast-1a",50,3,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"117","ap-southeast-1a",50,3.5,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"118","ap-southeast-1a",50,4,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"119","ap-southeast-1a",50,4.5,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"120","ap-southeast-1a",50,5,22.8182330136986,8.59437,0.42386301369863,13.8,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"121","ap-southeast-1a",100,1,49.0014876712329,19.944,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"122","ap-southeast-1a",100,1.5,49.0034876712329,19.9842,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"123","ap-southeast-1a",100,2,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"124","ap-southeast-1a",100,2.5,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"125","ap-southeast-1a",100,3,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"126","ap-southeast-1a",100,3.5,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"127","ap-southeast-1a",100,4,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"128","ap-southeast-1a",100,4.5,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"129","ap-southeast-1a",100,5,49.0436876712329,20.0244,1.41928767123288,27.6,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"130","ap-southeast-1a",200,1,90.1656794520548,29.9682,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"131","ap-southeast-1a",200,1.5,90.3658794520548,30.308,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"132","ap-southeast-1a",200,2,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"133","ap-southeast-1a",200,2.5,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"134","ap-southeast-1a",200,3,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"135","ap-southeast-1a",200,3.5,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"136","ap-southeast-1a",200,4,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"137","ap-southeast-1a",200,4.5,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"138","ap-southeast-1a",200,5,90.5820794520548,30.5566,4.82547945205479,55.2,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"139","ap-southeast-1a",500,1,217.950726027397,52.6188,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"140","ap-southeast-1a",500,1.5,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"141","ap-southeast-1a",500,2,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"142","ap-southeast-1a",500,2.5,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"143","ap-southeast-1a",500,3,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"144","ap-southeast-1a",500,3.5,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"145","ap-southeast-1a",500,4,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"146","ap-southeast-1a",500,4.5,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"147","ap-southeast-1a",500,5,217.950726027397,52.661,27.2897260273973,138,8092.25925925926,297,0,208.592592592593,7850.66666666666,0,"Asia Pacific"
"148","ap-southeast-1a",1000,1,485.897695890411,101.8785,106.841095890411,276,16154.4685185185,561,2.95,417.185185185185,15701.3333333333,0,"Asia Pacific"
"149","ap-southeast-1a",1000,1.5,487.516795890411,103.8631,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"150","ap-southeast-1a",1000,2,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"151","ap-southeast-1a",1000,2.5,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"152","ap-southeast-1a",1000,3,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"153","ap-southeast-1a",1000,3.5,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"154","ap-southeast-1a",1000,4,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"155","ap-southeast-1a",1000,4.5,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"156","ap-southeast-1a",1000,5,488.163095890411,105.322,106.841095890411,276,16151.5185185185,561,0,417.185185185185,15701.3333333333,0,"Asia Pacific"
"157","ap-southeast-1a",2000,1,1171.85778082192,194.146,422.728767123288,552,32371.3203703704,1144.9,101.283333333333,834.37037037037,31402.6666666667,2,"Asia Pacific"
"158","ap-southeast-1a",2000,1.5,1173.54898082192,199.1394,421.170410958904,552,32274.637037037,1131.23333333333,4.6,834.37037037037,31402.6666666667,1,"Asia Pacific"
"159","ap-southeast-1a",2000,2,1174.18358082192,201.1118,421.071780821918,552,32273.037037037,1124.80833333333,3,834.37037037037,31402.6666666667,1,"Asia Pacific"
"160","ap-southeast-1a",2000,2.5,1174.56214520548,201.1118,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"161","ap-southeast-1a",2000,3,1174.99298082192,201.4157,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"162","ap-southeast-1a",2000,3.5,1175.43478493151,201.6514,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"163","ap-southeast-1a",2000,4,1175.43478493151,201.6514,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"164","ap-southeast-1a",2000,4.5,1179.75498082192,206.5582,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"165","ap-southeast-1a",2000,5,1179.75498082192,206.5582,421.071780821918,552,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"166","ap-southeast-1a",5000,1,4486.11465068493,467.9738,2622.63205479452,1380,80910.0675925926,2833.65,284.475,2085.92592592593,78506.6666666667,5,"Asia Pacific"
