,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,time_ratio,cost_ratio,on_demand_price_hr,on_demand_instance_cost,on_demand_total_cost
30,ap-northeast-1a,2.5,500,162.761865452,1.11713983568,8.05791007891,18531.6750183,332.224042443,602565.01983,36362.7976084,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.939653321366,1.57459198498,2.043,205.5,374.609204338
31,ap-northeast-1a,3.0,500,326.558069145,0.364272350118,16.2671296836,18024.6292199,495.686959903,567602.005513,1399.7832913,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.99753386479,1.05533805963,2.043,205.5,374.609204338
32,ap-northeast-1a,3.5,500,326.558069145,0.364272350118,16.2671296836,18024.6292199,495.686959903,567602.005513,1399.7832913,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.99753386479,1.05533805963,2.043,205.5,374.609204338
33,ap-northeast-1a,4.0,500,326.558069145,0.364272350118,16.2671296836,18024.6292199,495.686959903,567602.005513,1399.7832913,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.99753386479,1.05533805963,2.043,205.5,374.609204338
34,ap-northeast-1a,4.5,500,355.184374919,0.0,17.6992187459,17820.0,524.293579257,566202.222222,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,1.0,0.997756476801,2.043,205.5,374.609204338
35,ap-northeast-1a,5.0,500,355.184374919,0.0,17.6992187459,17820.0,524.293579257,566202.222222,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,1.0,0.997756476801,2.043,205.5,374.609204338
36,ap-northeast-1a,1.0,1000,321.788703233,1.52235524065,15.9476550493,34630.9432364,673.985723509,1173281.38817,42856.9437251,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,367.484,0,18.2562,33660.0,719.222372146,1130424.44444,0.0,0.963472578563,1.57231014754,2.043,410.96,762.698372146
37,ap-northeast-1a,1.5,1000,321.906913837,1.51958628553,15.9535704658,34630.1269647,674.103844551,1173276.22618,42851.7817412,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,367.484,0,18.2562,33660.0,719.222372146,1130424.44444,0.0,0.963476817493,1.5720346367,2.043,410.96,762.698372146
38,ap-northeast-1a,2.0,1000,322.013967343,1.51258245785,15.9589231411,34626.8170861,674.210881992,1173274.43011,42849.9856666,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,367.484,0,18.2562,33660.0,719.222372146,1130424.44444,0.0,0.963478292401,1.57178506114,2.043,410.96,762.698372146
39,ap-northeast-1a,2.5,1000,322.157199039,1.50777750631,15.966086029,34621.7161007,674.353993416,1173271.24214,42846.7977034,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,368.944,0,18.3061,33660.0,720.900262557,1130424.44444,0.0,0.963480910329,1.57145149686,2.043,410.96,762.698372146
