,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,on_demand_price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,on_demand_instance_cost,static_run_time,on_demand_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
59,eu-central-1b,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.064,23940.0,Linux/UNIX,19400.0,0.01075,0.0116001369863,4.38735013699,3880.0,4.365,4.92022290411,1941.6,167580.0,1950.90757304,188712.977778,0,18,1577.77777778
60,eu-central-1b,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.064,23940.0,Linux/UNIX,38800.0,0.0215,0.0464005479452,8.79790054795,7760.0,8.73,9.1528409863,3594.0,311220.0,3611.95074153,353485.955556,0,18,3155.55555556
61,eu-central-1b,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.064,23940.0,Linux/UNIX,77600.0,0.043,0.185602191781,17.6886021918,15520.0,17.46,17.7654350137,6898.83,598500.0,6934.28403721,683031.911111,0,18,6311.11111111
62,eu-central-1b,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.064,23940.0,Linux/UNIX,194000.0,0.1075,1.16001369863,44.9175136986,38800.0,43.65,46.0452144658,17309.04,1508220.0,17400.0027282,1718308.17778,0,18,15777.7777778
63,eu-central-1b,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.064,23940.0,Linux/UNIX,388000.0,0.215,4.64005479452,92.1550547945,77600.0,87.3,96.286838411,34370.19,2992500.0,34558.6318932,3412676.35556,0,18,31555.5555556
64,eu-west-1a,20,0.0071,c3.8xlarge,4,50,0.097,0.097,1.912,23940.0,Linux/UNIX,1940.0,0.001,0.000107408675799,0.437607408676,388.0,0.4365,0.448708534247,174.188,23940.0,175.074315943,26425.7777778,0,18,157.777777778
65,eu-west-1a,20,0.0071,c3.8xlarge,4,100,0.097,0.097,1.912,23940.0,Linux/UNIX,3880.0,0.002,0.000429634703196,0.875429634703,776.0,0.873,1.34690931507,535.752,47880.0,537.97433895,52230.7555556,0,18,315.555555556
66,eu-west-1a,20,0.0071,c3.8xlarge,4,200,0.097,0.097,1.912,23940.0,Linux/UNIX,7760.0,0.004,0.00171853881279,1.75171853881,1552.0,1.746,1.93219972603,765.388,71820.0,769.071918265,80521.5111111,0,18,631.111111111
67,eu-west-1a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,1.912,23940.0,Linux/UNIX,19400.0,0.01,0.0107408675799,4.38574086758,3880.0,4.365,4.54810520548,1798.624,167580.0,1807.55784607,188712.977778,0,18,1577.77777778
68,eu-west-1a,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,1.912,23940.0,Linux/UNIX,38800.0,0.02,0.0429634703196,8.79296347032,7760.0,8.73,8.46060931507,3329.344,311220.0,3346.59757279,353485.955556,0,18,3155.55555556
69,eu-west-1a,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,1.912,23940.0,Linux/UNIX,77600.0,0.04,0.171853881279,17.6718538813,15520.0,17.46,16.4218306849,6390.812,598500.0,6424.90568457,683031.911111,0,18,6311.11111111
70,eu-west-1a,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,1.912,23940.0,Linux/UNIX,194000.0,0.1,1.07408675799,44.824086758,38800.0,43.65,42.5628032877,16034.432,1508220.0,16121.81889,1718308.17778,0,18,15777.7777778
71,eu-west-1a,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,1.912,23940.0,Linux/UNIX,388000.0,0.2,4.29634703196,91.796347032,77600.0,87.3,89.0046405479,31839.228,2992500.0,32020.0289876,3412676.35556,0,18,31555.5555556
72,eu-west-1b,20,0.0071,c3.8xlarge,4,50,0.097,0.097,1.912,23940.0,Linux/UNIX,1940.0,0.001,0.000107408675799,0.437607408676,388.0,0.4365,0.448708534247,174.188,23940.0,175.074315943,26425.7777778,0,18,157.777777778
73,eu-west-1b,20,0.0071,c3.8xlarge,4,100,0.097,0.097,1.912,23940.0,Linux/UNIX,3880.0,0.002,0.000429634703196,0.875429634703,776.0,0.873,1.34690931507,535.752,47880.0,537.97433895,52230.7555556,0,18,315.555555556
74,eu-west-1b,20,0.0071,c3.8xlarge,4,200,0.097,0.097,1.912,23940.0,Linux/UNIX,7760.0,0.004,0.00171853881279,1.75171853881,1552.0,1.746,1.93219972603,765.388,71820.0,769.071918265,80521.5111111,0,18,631.111111111
75,eu-west-1b,20,0.0071,c3.8xlarge,4,500,0.097,0.097,1.912,23940.0,Linux/UNIX,19400.0,0.01,0.0107408675799,4.38574086758,3880.0,4.365,4.54810520548,1798.624,167580.0,1807.55784607,188712.977778,0,18,1577.77777778
76,eu-west-1b,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,1.912,23940.0,Linux/UNIX,38800.0,0.02,0.0429634703196,8.79296347032,7760.0,8.73,8.46060931507,3329.344,311220.0,3346.59757279,353485.955556,0,18,3155.55555556
77,eu-west-1b,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,1.912,23940.0,Linux/UNIX,77600.0,0.04,0.171853881279,17.6718538813,15520.0,17.46,16.4218306849,6390.812,598500.0,6424.90568457,683031.911111,0,18,6311.11111111
78,eu-west-1b,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,1.912,23940.0,Linux/UNIX,194000.0,0.1,1.07408675799,44.824086758,38800.0,43.65,42.5628032877,16034.432,1508220.0,16121.81889,1718308.17778,0,18,15777.7777778
